Metrics            | Classifier 1         | Classifier 2         | Classifier 3         | Classifier 4         | Classifier 5         | Classifier 6         | Classifier 7         | Classifier 8         | Classifier 9         | Classifier 10        | Classifier 11
-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|---------------------
Accuracy           | 0.52                 | 0.225                | 0.8                  | 0.665                | 0.58                 | 0.595                | 0.65                 | 0.74                 | 0.495                | 0.535                | 0.595
F1 Score           | 0.3924050632911392   | 0.35146443514644354  | 0.0                  | 0.3232323232323232   | 0.2631578947368421   | 0.40875912408759124  | 0.38596491228070173  | 0.35                 | 0.5550660792951543   | 0.456140350877193    | 0.3622047244094488
Recall             | 0.5                  | 0.9767441860465116   | 0.0                  | 0.42105263157894735  | 0.35714285714285715  | 0.5490196078431373   | 0.43137254901960786  | 0.35                 | 0.8076923076923077   | 0.7647058823529411   | 0.42592592592592593
Precision          | 0.3229166666666667   | 0.21428571428571427  | 0.0                  | 0.26229508196721313  | 0.20833333333333334  | 0.32558139534883723  | 0.3492063492063492   | 0.35                 | 0.4228187919463087   | 0.325                | 0.3150684931506849
Binary Cross-Entropy Loss | 0.6903897974317538 | 0.7047224915597637 | 0.6955845990024114 | 0.6759533216434847  | 0.7079058136537806  | 0.6705898997884495   | 0.6736718370483499   | 0.6850028146555474   | 0.6920772737529076   | 0.6633673510171488   | 0.7057703715775283
